,route_id,travel_mode,mean_off_peak_duration_min,mean_peak_duration_min,p90_peak_duration_min,peak_vs_off_peak_mean_diff,p90_vs_off_peak_diff,notes
37,"Newton Exchange, Surrey to Surrey Central Station, Surrey",TRANSIT,21.880522306855276,22.020642201834864,24.0,0.14011989497958766,2.1194776931447237,
38,"The Glebe, Ottawa to Any highway, Ottawa",DRIVE,6.6199519755511895,6.703787878787879,8.0,0.08383590323668955,1.3800480244488105,
39,"Vanier, Ottawa to Tunney's Pasture, Ottawa",BICYCLE,31.0,31.0,31.0,0.0,0.0,
40,"Esquimalt, Victoria to University of Victoria, Victoria",BICYCLE,29.0,29.0,29.0,0.0,0.0,
41,"Bridlewood, Ottawa, ON K2M 3A1 to Downtown, Ottawa, ON",BICYCLE,83.0,83.0,83.0,0.0,0.0,Submitted by Harry
42,"49.89712217786214, -97.05075975452641 to 49.786032966205994, -97.16558151683073",BICYCLE,72.0,72.0,72.0,0.0,0.0,Submitted by Lovell
43,"43.6439714995947, -79.4421162780229 to 43.654405195053954, -79.40143253371338",BICYCLE,17.0,17.0,17.0,0.0,0.0,"Parkdale to Kensington Market. Submitted by Mike Barber. Sometimes they do this commute by transit, other times by bike. So listed twice."
44,"43.6439714995947, -79.4421162780229 to 43.654405195053954, -79.40143253371338",BICYCLE,17.0,17.0,17.0,0.0,0.0,"Parkdale to Kensington Market. Submitted by Mike Barber. Sometimes they do this commute by transit, other times by bike. So listed twice."
45,"Wolseley, Winnipeg to University of Manitoba, Winnipeg",BICYCLE,12.0,12.0,12.0,0.0,0.0,
46,"Mill Woods, Edmonton to Downtown Edmonton, AB",BICYCLE,47.0,47.0,47.0,0.0,0.0,
47,"North End, Halifax to Macdonald Bridge, Halifax",BICYCLE,10.0,10.0,10.0,0.0,0.0,
48,"Colwood, Victoria to Downtown Victoria",DRIVE,0.9880952380952381,0.9740566037735849,1.0,-0.014038634321653198,0.011904761904761862,
49,"St. James, Winnipeg to Transcona, Winnipeg",DRIVE,28.202575856799825,28.146768060836504,32.0,-0.05580779596332164,3.7974241432001747,
50,"Camden East, Ontario to Napanee",DRIVE,16.662837837837838,16.586477987421382,17.0,-0.07635985041645554,0.3371621621621621,Submitted by Cindy Hunter
51,"East Chezzetcook, Nova Scotia to Halifax, Nova Scotia",DRIVE,66.15844544095665,65.8238341968912,68.0,-0.3346112440654565,1.8415545590433453,Submitted by Curtis Boucher
52,"Dartmouth Bridge Terminal, Dartmouth to Mount Saint Vincent University, Halifax",TRANSIT,27.198964663515643,26.34406912804399,37.0,-0.8548955354716519,9.801035336484357,
53,"Eaux Claires Transit Centre, Edmonton to Downtown Edmonton, AB",TRANSIT,42.274787535410766,41.274809160305345,45.0,-0.999978375105421,2.7252124645892337,
54,"Cole Harbour, Nova Scotia to Shearwater, Nova Scotia",TRANSIT,79.17263110510916,66.23330714846819,79.0,-12.939323956640976,-0.17263110510916135,
