rank,tripid,cityname_corrected,origin,dest,mean_trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
354,101619651,Toronto,"43.758877,-79.76439","43.64669,-79.3809",48.1,41.6,65.11,23.51,56.52,77.57,35.96916666666666
355,101617481,Toronto,"43.57908,-79.70362","43.652157,-79.374374",38.3,37.3,60.78,23.48,62.96,66.27,28.97333333333333
356,101615940,Toronto,"43.65315,-79.37987","43.813652,-79.437546",32.6,30.67,54.15,23.47,76.53,74.55,43.88111111111111
357,101616421,Toronto,"43.896835,-79.425186","43.651905,-79.38811",37.4,33.86,57.31,23.45,69.28,63.9,30.044202898550722
358,101607950,Toronto,"43.655136,-79.37678","43.43939,-79.70122",41.1,32.91,56.35,23.45,71.25,68.27,35.36564102564103
359,101622990,Toronto,"43.653397,-79.38296","43.77598,-79.6789",42.0,35.22,58.64,23.42,66.49,66.76,31.540158730158737
360,101619780,Toronto,"43.653397,-79.3833","43.81266,-79.27275",28.5,32.75,56.15,23.41,71.48,69.82,37.071052631578944
361,101627091,Toronto,"43.75466,-79.69401","43.651905,-79.383644",41.9,34.64,58.03,23.4,67.54,64.8,30.162179487179486
362,101608690,Toronto,"43.652157,-79.38021","43.853523,-79.53642",49.6,35.6,58.99,23.4,65.73,69.85,34.253125
363,101610341,Toronto,"43.460327,-79.68062","43.65464,-79.38742",38.0,31.52,54.92,23.4,74.26,65.8,34.2813725490196
364,101639600,Vancouver,"49.24937,-123.11884","49.27155,-122.88023",22.3,28.02,51.42,23.4,83.48,56.2,28.175925925925927
365,101622570,Toronto,"43.653645,-79.37815","43.692383,-79.803185",49.5,41.36,64.75,23.39,56.57,79.22,37.86385964912281
366,101620221,Toronto,"43.78912,-79.677185","43.65414,-79.3833",44.0,36.58,59.98,23.39,63.94,69.39,32.802352941176466
367,14176721,Toronto,"43.785156,-79.37266","43.650913,-79.383644",22.5,24.43,47.82,23.39,95.74,62.75,38.32111111111111
368,101622770,Toronto,"43.65017,-79.37472","43.592754,-79.604744",23.4,20.93,44.31,23.38,111.72,54.24,33.31314814814815
369,14175641,Toronto,"43.720924,-79.535736","43.651905,-79.37815",31.7,26.27,49.66,23.38,88.99,59.33,33.05230769230769
370,431071871,Montreal,"45.639297,-73.49072","45.618774,-73.45",22.1,27.09,50.39,23.31,86.03,58.66,31.569444444444443
371,101613741,Toronto,"43.631035,-79.59204","43.650417,-79.379524",22.9,23.55,46.84,23.28,98.86,57.19,33.63774509803921
372,101626911,Toronto,"43.847336,-79.51685","43.64843,-79.37609",44.3,34.76,58.03,23.27,66.94,66.91,32.14833333333333
373,14178081,Toronto,"43.711,-79.54432","43.65017,-79.375404",30.0,26.17,49.41,23.24,88.79,58.65,32.47555555555556
374,14175130,Toronto,"43.653397,-79.3912","43.771523,-79.30434",22.3,26.73,49.97,23.24,86.97,61.22,34.49333333333333
375,101615841,Toronto,"43.636505,-79.59822","43.65116,-79.3833",23.4,24.66,47.89,23.23,94.22,52.79,28.135925925925925
376,304076391,Toronto,"43.37529,-79.755806","43.723904,-79.4118",66.3,44.69,67.91,23.22,51.95,81.06,36.36354166666667
377,101624250,Toronto,"43.653397,-79.38399","43.452602,-79.757866",46.2,36.9,60.1,23.21,62.89,67.06,30.166111111111114
378,14175331,Toronto,"43.702065,-79.549126","43.649918,-79.37987",26.8,26.95,50.15,23.2,86.09,58.81,31.863333333333333
379,101626371,Toronto,"43.41745,-79.71701","43.650665,-79.383644",44.4,35.7,58.89,23.19,64.97,74.31,38.61454545454546
380,101626820,Toronto,"43.65464,-79.38605","43.83743,-79.51067",39.0,38.72,61.91,23.19,59.89,72.6,33.88148148148147
381,101622611,Toronto,"43.770283,-79.72937","43.649174,-79.388794",44.1,37.43,60.61,23.18,61.93,78.46,41.03083333333333
