rank,tripid,cityname_corrected,origin,dest,mean_trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
2019,101627250,Toronto,"43.6529,-79.37987","43.56316,-79.73452",40.9,35.57,50.37,14.8,41.61,61.59,26.015526315789472
2020,101623450,Toronto,"43.64843,-79.38399","43.784164,-79.153275",36.6,32.07,46.87,14.8,46.14,57.97,25.90349206349206
2021,13254530,Toronto,"43.650665,-79.37403","43.72663,-79.441666",18.7,26.91,41.71,14.8,55.01,45.67,18.763148148148147
2022,304129190,Vancouver,"49.324165,-123.05876","49.233006,-123.04125",13.2,14.86,29.65,14.8,99.59,41.09,26.236190476190476
2023,303958720,Montreal,"45.58971,-73.62681","45.492565,-73.39472",29.1,38.93,53.73,14.8,38.01,57.39,18.456666666666663
2024,101621280,Toronto,"43.647434,-79.3809","43.64495,-79.478745",10.2,12.32,27.12,14.79,120.03,35.11,22.78452380952381
2025,101636891,Vancouver,"49.26371,-122.76728","49.24959,-123.11919",31.9,34.52,49.31,14.79,42.84,56.97,22.44736842105263
2026,13257351,Toronto,"43.69164,-79.49351","43.650417,-79.38433",16.8,28.53,43.32,14.79,51.83,51.52,22.984166666666674
2027,101556621,Montreal,"45.58875,-73.80568","45.510128,-73.584236",24.1,32.22,47.0,14.79,45.9,58.46,26.23984848484848
2028,303922321,Montreal,"45.53274,-73.55265","45.701797,-73.926186",44.2,38.62,53.41,14.79,38.3,61.43,22.810793650793656
2029,101629481,Vancouver,"49.256092,-122.91731","49.255196,-123.12983",19.1,24.17,38.95,14.78,61.13,44.19,20.018571428571427
2030,101620360,Toronto,"43.66557,-79.38845","43.69983,-79.6686",36.4,39.82,54.58,14.77,37.08,64.82,25.002692307692314
2031,13245591,Montreal,"45.60052,-73.56673","45.511333,-73.57977",15.7,27.73,42.49,14.76,53.23,47.16,19.427179487179487
2032,101552190,Montreal,"45.509888,-73.58492","45.456932,-73.79675",24.4,28.55,43.31,14.76,51.71,49.04,20.49486111111111
2033,101608251,Toronto,"43.805973,-79.33489","43.664574,-79.38502",21.0,25.08,39.83,14.75,58.8,54.03,28.94416666666667
2034,101620430,Toronto,"43.654392,-79.38021","43.77499,-79.600624",41.1,33.68,48.43,14.75,43.79,55.22,21.535000000000004
2035,101558051,Montreal,"45.485825,-73.77135","45.50267,-73.57428",22.5,21.48,36.22,14.75,68.68,39.41,17.932499999999997
2036,101639111,Vancouver,"49.210808,-122.90873","49.25699,-123.11026",19.5,27.48,42.22,14.74,53.66,45.85,18.371568627450984
2037,101552121,Montreal,"45.525284,-73.78474","45.509647,-73.58355",26.6,28.03,42.77,14.74,52.61,59.38,31.350277777777784
2038,101551501,Montreal,"45.486786,-73.80671","45.511814,-73.58218",26.2,30.7,45.44,14.74,48.02,58.29,27.597500000000004
2039,101635210,Vancouver,"49.245335,-123.10099","49.269085,-122.77483",30.1,30.38,45.11,14.73,48.47,63.91,33.53
2040,101631130,Vancouver,"49.243767,-123.11781","49.276703,-122.80264",30.6,33.67,48.41,14.73,43.76,64.19,30.51813725490195
2041,101549851,Montreal,"45.460064,-73.86988","45.510372,-73.57977",31.8,33.26,48.0,14.73,44.29,57.5,24.2325
2042,101552851,Montreal,"45.606525,-73.58149","45.510372,-73.58492",19.5,33.28,48.0,14.72,44.22,59.14,25.85333333333333
2043,304141831,Vancouver,"49.30111,-122.77449","49.221573,-123.08554",34.1,39.5,54.22,14.72,37.27,59.77,20.277500000000003
2044,14179000,Toronto,"43.65315,-79.3833","43.78664,-79.34691",21.7,25.27,39.98,14.71,58.24,55.4,30.134313725490195
2045,101563471,Montreal,"45.567844,-73.76826","45.509888,-73.58492",26.3,32.07,46.78,14.71,45.87,53.64,21.572692307692307
2046,101563320,Montreal,"45.509888,-73.58492","45.621655,-73.76242",31.1,41.27,55.98,14.71,35.64,62.76,21.487777777777772
2047,14169661,Montreal,"45.64374,-73.55471","45.509888,-73.58492",23.5,35.51,50.22,14.71,41.42,55.55,20.035964912280697
2048,304127031,Vancouver,"49.257885,-122.90942","49.168175,-123.17755",31.8,37.06,51.76,14.71,39.69,58.77,21.716388888888886
2049,101632000,Vancouver,"49.25049,-123.11919","49.23906,-122.88298",22.0,25.54,40.25,14.71,57.61,54.92,29.38611111111111
2050,101551141,Montreal,"45.60917,-73.57668","45.509888,-73.5808",16.6,27.59,42.29,14.7,53.27,50.52,22.925694444444442
2051,304152181,Vancouver,"49.148865,-123.14631","49.246006,-122.85311",33.3,36.64,51.34,14.7,40.11,63.53,26.882407407407413
2052,13257791,Toronto,"43.63054,-79.50964","43.65464,-79.39154",13.9,21.51,36.21,14.7,68.32,40.9,19.380964912280707
2053,304131121,Vancouver,"49.257214,-123.00314","49.12618,-123.09687",22.0,26.24,40.93,14.69,56.0,46.5,20.261481481481482
2054,14169751,Montreal,"45.6411,-73.54304","45.507725,-73.58252",23.3,33.46,48.14,14.69,43.9,56.7,23.2439393939394
2055,303919770,Montreal,"45.618774,-73.4548","45.544525,-73.59522",20.0,23.38,38.06,14.69,62.82,43.16,19.779166666666665
2056,49188620,Vancouver,"49.110226,-122.86822","49.26759,-123.073746",32.7,29.09,43.78,14.69,50.49,51.0,21.91060606060606
2057,304026560,Quebec,"46.74544,-71.229385","46.829834,-71.242775",24.3,18.76,33.46,14.69,78.3,39.18,20.419166666666673
2058,101617190,Toronto,"43.652653,-79.382614","43.58828,-79.658646",35.7,26.99,41.68,14.68,54.4,48.16,21.171228070175438
2059,304160140,Vancouver,"49.34654,-123.18888","49.23278,-123.177895",20.9,28.08,42.75,14.68,52.27,54.05,25.972222222222218
2060,53795901,Montreal,"45.55804,-73.643845","45.435738,-73.619255",19.8,22.24,36.92,14.68,66.01,44.75,22.51545454545455
2061,304148241,Vancouver,"49.239956,-123.02855","49.20161,-122.822556",24.6,21.34,36.02,14.68,68.77,47.96,26.62117647058823
2062,14176491,Toronto,"43.739285,-79.24048","43.65315,-79.38536",21.2,30.45,45.12,14.68,48.2,50.02,19.568181818181817
2063,101556840,Montreal,"45.507244,-73.58252","45.449947,-73.77581",22.2,23.24,37.91,14.67,63.11,45.76,22.519999999999996
2064,13253090,Toronto,"43.653645,-79.3833","43.742756,-79.36064",16.2,23.7,38.37,14.67,61.89,45.31,21.60333333333334
2065,13257470,Toronto,"43.647186,-79.38639","43.65414,-79.50793",12.5,16.94,31.61,14.67,86.59,38.93,21.987777777777783
2066,303947700,Montreal,"45.415737,-73.629555","45.521435,-73.61273",20.1,29.46,44.13,14.67,49.77,50.04,20.576724137931038
2067,101622201,Toronto,"43.671776,-79.567665","43.650913,-79.38399",26.0,26.66,41.33,14.67,55.04,52.28,25.62333333333333
2068,101631310,Vancouver,"49.24937,-123.12125","49.18815,-122.85723",35.6,32.77,47.44,14.66,44.75,63.14,30.367592592592587
2069,101608960,Toronto,"43.654392,-79.38948","43.822323,-79.52475",32.9,36.42,51.08,14.66,40.27,59.97,23.550000000000004
2070,201313270,Montreal,"45.581303,-73.52656","45.54837,-73.493256",14.9,17.37,32.03,14.66,84.42,36.74,19.368888888888886
2071,304122140,Toronto,"43.668797,-79.39051","43.689903,-79.62294",26.8,30.41,45.06,14.65,48.17,55.1,24.68928571428571
2072,101637531,Vancouver,"49.26662,-122.86822","49.243317,-123.11816",24.2,28.56,43.21,14.65,51.27,51.37,22.80277777777778
2073,13256011,Toronto,"43.621593,-79.492134","43.650417,-79.374374",12.6,15.62,30.27,14.65,93.77,38.22,22.593939393939394
2074,13254491,Toronto,"43.656628,-79.51308","43.649918,-79.38811",13.8,24.69,39.34,14.65,59.32,42.01,17.31439393939394
2075,101557341,Montreal,"45.584904,-73.576","45.511093,-73.58252",13.3,29.52,44.16,14.64,49.59,49.01,19.49388888888889
2076,101552461,Montreal,"45.52745,-73.831085","45.508926,-73.58286",29.8,32.23,46.86,14.64,45.42,58.0,25.77035087719299
2077,303952090,Montreal,"45.56087,-73.65462","45.463676,-73.719505",17.1,22.75,37.38,14.63,64.31,41.04,18.287543859649123
2078,101564781,Montreal,"45.495934,-73.79057","45.510853,-73.58046",24.7,28.09,42.72,14.63,52.07,56.71,28.614682539682534
2079,101555401,Montreal,"45.563755,-73.81083","45.509888,-73.58492",30.9,35.26,49.89,14.63,41.48,53.72,18.46055555555555
2080,101628501,Vancouver,"49.262814,-122.767624","49.24354,-123.1161",33.1,37.49,52.11,14.62,39.0,54.28,16.788703703703703
2081,304121521,Toronto,"43.72539,-79.68302","43.675503,-79.31223",53.9,43.94,58.56,14.62,33.26,67.17,23.229814814814816
2082,101564801,Montreal,"45.492325,-73.82662","45.509888,-73.58492",28.4,34.32,48.94,14.62,42.6,55.93,21.61071428571428
2083,14176130,Toronto,"43.65737,-79.382614","43.79259,-79.40699",20.8,31.65,46.27,14.62,46.19,54.03,22.384666666666664
2084,101559691,Montreal,"45.470177,-73.80259","45.509888,-73.58492",26.2,29.39,44.01,14.61,49.72,58.37,28.972666666666665
2085,101625491,Toronto,"43.76111,-79.33764","43.661594,-79.38708",15.7,19.35,33.96,14.61,75.5,37.22,17.866666666666667
2086,101565431,Montreal,"45.489193,-73.831085","45.507965,-73.58149",27.9,32.39,47.0,14.61,45.13,58.92,26.534444444444453
2087,101557641,Montreal,"45.623337,-73.60106","45.508205,-73.58286",21.6,33.05,47.65,14.6,44.19,56.74,23.6886231884058
2088,101632470,Vancouver,"49.250042,-123.12502","49.193085,-122.765564",32.2,31.23,45.82,14.6,46.74,57.73,26.505555555555556
2089,101555101,Montreal,"45.57313,-73.80087","45.509888,-73.58492",27.6,35.55,50.14,14.6,41.06,58.89,23.34058823529412
2090,101619970,Toronto,"43.648182,-79.37815","43.629295,-79.50518",12.8,16.21,30.81,14.6,90.1,39.06,22.847894736842107
2091,304118660,Toronto,"43.68593,-79.69195","43.666313,-79.45059",32.6,29.05,43.64,14.59,50.21,54.31,25.258947368421055
2092,101630281,Vancouver,"49.203403,-122.86547","49.24959,-123.11816",27.6,33.42,48.01,14.59,43.67,51.94,18.52499999999999
2093,304069340,Toronto,"43.614136,-79.72594","43.705788,-79.48664",39.5,25.18,39.77,14.58,57.92,46.27,21.08452380952381
2094,304123861,Toronto,"43.64321,-79.39944","43.735313,-79.62328",30.3,22.41,36.99,14.58,65.05,43.06,20.645964912280704
2095,101621921,Toronto,"43.774246,-79.30125","43.658863,-79.38193",20.5,22.05,36.63,14.57,66.07,42.62,20.56545454545455
2096,101622921,Toronto,"43.73705,-79.44819","43.6611,-79.38399",14.3,26.82,41.39,14.57,54.33,44.68,17.855555555555554
2097,101639061,Vancouver,"49.1291,-122.875084","49.262142,-123.11369",32.4,32.72,47.29,14.57,44.53,50.53,17.80539215686275
2098,14171001,Montreal,"45.6435,-73.54819","45.511814,-73.57943",21.5,30.11,44.68,14.57,48.38,49.45,19.33717948717949
2099,304163641,Vancouver,"49.250713,-123.03507","49.25878,-122.744965",28.1,23.39,37.95,14.56,62.27,46.6,23.214583333333334
2100,101621550,Toronto,"43.651905,-79.37918","43.767555,-79.30949",19.3,21.84,36.4,14.56,66.67,44.27,22.427450980392155
2101,14177650,Toronto,"43.652653,-79.3809","43.63899,-79.564575",19.7,18.87,33.43,14.56,77.18,45.71,26.846666666666664
2102,101551621,Montreal,"45.541397,-73.78954","45.51759,-73.5808",24.0,30.19,44.75,14.56,48.22,51.57,21.381111111111114
2103,14171010,Montreal,"45.510853,-73.57428","45.4591,-73.75109",21.2,21.97,36.52,14.55,66.25,41.77,19.797619047619047
2104,14179190,Toronto,"43.64495,-79.38124","43.778214,-79.392914",24.7,27.42,41.96,14.55,53.05,59.92,32.50538461538462
2105,101610180,Toronto,"43.65141,-79.37197","43.839657,-79.553246",48.8,34.03,48.58,14.55,42.77,70.3,36.27438596491228
2106,101553591,Montreal,"45.614452,-73.67796","45.509167,-73.57634",22.3,32.3,46.84,14.54,45.0,54.54,22.242142857142852
2107,101618040,Toronto,"43.650417,-79.39223","43.812412,-79.52406",31.9,33.79,48.34,14.54,43.04,59.74,25.950000000000003
2108,14175391,Toronto,"43.771027,-79.29335","43.653397,-79.3833",21.2,21.76,36.3,14.54,66.83,39.05,17.29083333333333
2109,14176001,Toronto,"43.606926,-79.555305","43.64495,-79.37815",16.8,16.77,31.31,14.54,86.69,37.69,20.92272727272727
2110,303915380,Montreal,"45.473064,-73.636765","45.554623,-73.6299",11.9,16.74,31.27,14.53,86.8,38.04,21.30122807017544
2111,14179761,Toronto,"43.786144,-79.41283","43.65315,-79.3833",24.6,26.76,41.29,14.53,54.28,47.38,20.610294117647058
2112,101616071,Toronto,"43.795315,-79.2367","43.659855,-79.38124",26.3,25.91,40.44,14.53,56.08,47.21,21.297549019607846
2113,101551251,Montreal,"45.482697,-73.80671","45.509407,-73.58389",25.9,29.74,44.26,14.52,48.84,52.34,22.599166666666672
2114,101621150,Toronto,"43.65464,-79.38639","43.621346,-79.57865",21.6,24.26,38.78,14.52,59.87,44.32,20.058823529411768
2115,304150400,Vancouver,"49.269085,-123.18545","49.14864,-123.148026",16.9,23.61,38.12,14.51,61.47,46.85,23.238974358974357
2116,101561021,Montreal,"45.48125,-73.78474","45.516624,-73.59419",19.6,23.9,38.41,14.51,60.71,48.78,24.87388888888889
2117,101619981,Toronto,"43.87778,-79.3603","43.65762,-79.38914",31.9,28.71,43.21,14.5,50.49,51.98,23.266944444444444
2118,14179871,Toronto,"43.77326,-79.273094","43.66557,-79.381584",20.7,22.47,36.97,14.5,64.52,42.2,19.73
2119,101558121,Montreal,"45.500263,-73.84276","45.514942,-73.57634",28.2,35.33,49.83,14.5,41.04,59.93,24.596666666666664
2120,13254490,Toronto,"43.649918,-79.38811","43.656628,-79.51308",13.2,19.28,33.77,14.49,75.18,39.37,20.08854166666666
2121,101634001,Vancouver,"49.188824,-122.85311","49.250267,-123.11884",35.0,36.03,50.53,14.49,40.23,60.48,24.444210526315793
2122,304129280,Vancouver,"49.265728,-122.76522","49.241974,-123.12125",34.1,36.43,50.9,14.48,39.74,54.52,18.09000000000001
2123,101608581,Toronto,"43.7683,-79.31361","43.658863,-79.38399",24.2,25.51,39.99,14.48,56.75,46.41,20.903958333333335
2124,303954640,Montreal,"45.427544,-73.64535","45.68309,-73.87743",40.7,32.05,46.53,14.48,45.16,59.09,27.03545454545455
2125,101556191,Montreal,"45.592113,-73.535484","45.507484,-73.57943",13.1,26.43,40.9,14.47,54.75,48.72,22.291666666666668
2126,304093890,Toronto,"43.75243,-79.278244","43.705044,-79.46055",22.1,24.57,39.04,14.47,58.89,43.66,19.091884057971015
2127,47267710,Vancouver,"49.13988,-123.09687","49.269566,-123.13502",18.4,24.22,38.68,14.47,59.73,39.81,15.588717948717957
2128,101634311,Vancouver,"49.26483,-122.873024","49.251385,-123.11575",23.6,27.58,42.04,14.46,52.43,44.39,16.807500000000005
2129,101621160,Toronto,"43.65464,-79.384674","43.67972,-79.49866",14.3,24.88,39.34,14.46,58.14,44.27,19.39666666666667
2130,101612250,Toronto,"43.66085,-79.38914","43.705788,-79.652466",32.4,35.36,49.82,14.46,40.9,56.0,20.640000000000008
2131,13255651,Toronto,"43.735065,-79.44819","43.65464,-79.39017",13.6,24.99,39.44,14.45,57.81,42.82,17.824561403508767
2132,14170501,Montreal,"45.63534,-73.50081","45.512775,-73.57703",21.4,32.27,46.71,14.44,44.76,56.04,23.771875
2133,101557361,Montreal,"45.445614,-73.8867","45.509888,-73.58492",34.0,36.87,51.3,14.43,39.15,66.21,29.33705882352941
2134,304097201,Toronto,"43.680218,-79.30949","43.81935,-79.360985",26.3,24.91,39.34,14.43,57.93,44.07,19.157962962962962
2135,14179560,Toronto,"43.64321,-79.38708","43.777718,-79.39635",25.3,23.88,38.3,14.42,60.39,48.96,25.077222222222215
2136,101636501,Vancouver,"49.25094,-122.75492","49.2478,-123.13292",32.7,33.12,47.55,14.42,43.54,51.96,18.837450980392155
2137,101637651,Vancouver,"49.1877,-122.90907","49.251385,-123.11644",35.9,32.14,46.55,14.42,44.87,52.2,20.06166666666666
2138,303937480,Montreal,"45.52745,-73.69204","45.466564,-73.6632",10.9,21.51,35.93,14.42,67.02,40.45,18.937500000000004
2139,101638531,Vancouver,"49.12618,-122.8356","49.254074,-123.11919",38.4,36.47,50.88,14.41,39.52,56.76,20.29
2140,13257071,Toronto,"43.695114,-79.489044","43.657124,-79.378494",14.1,30.18,44.59,14.41,47.74,48.85,18.667543859649115
2141,101557590,Montreal,"45.509888,-73.58492","45.694603,-73.89941",43.3,43.34,57.74,14.41,33.24,61.44,18.1069696969697
2142,304089261,Toronto,"43.65017,-79.44441","43.50616,-79.62328",26.3,22.83,37.23,14.4,63.09,41.37,18.5478431372549
2143,101550790,Montreal,"45.5058,-73.58149","45.674458,-73.7456",39.5,40.5,54.9,14.4,35.57,64.65,24.150980392156853
2144,304132881,Vancouver,"49.239506,-123.02546","49.279613,-122.79303",24.9,23.55,37.94,14.4,61.14,49.58,26.036538461538456
2145,304145701,Vancouver,"49.13494,-122.9101","49.276703,-122.743935",31.9,36.83,51.23,14.4,39.09,56.68,19.855128205128203
2146,45591570,Ottawa,"45.340256,-75.79901","45.432922,-75.67507",18.7,18.04,32.44,14.4,79.85,39.09,21.05095238095238
2147,14180830,Vancouver,"49.25094,-123.11884","49.17244,-122.94924",22.4,22.42,36.82,14.4,64.25,42.96,20.539999999999996
2148,101628211,Vancouver,"49.129772,-122.88367","49.25228,-123.11816",30.9,29.15,43.55,14.4,49.42,49.9,20.753115942028984
2149,101563860,Montreal,"45.508446,-73.57874","45.53202,-73.807396",28.4,32.71,47.1,14.39,43.97,56.95,24.23263157894737
2150,304068190,Toronto,"43.738293,-79.42278","43.494705,-79.6995",46.6,30.52,44.9,14.38,47.1,51.0,20.480784313725493
2151,101623920,Toronto,"43.65315,-79.3833","43.68295,-79.476685",11.7,25.26,39.65,14.38,56.94,45.48,20.220833333333335
2152,303943531,Montreal,"45.489918,-73.73564","45.471622,-73.493256",24.2,19.96,34.34,14.38,72.04,43.99,24.027719298245614
2153,13252960,Toronto,"43.657867,-79.39703","43.628304,-79.51548",13.8,19.92,34.31,14.38,72.2,41.38,21.458333333333336
2154,304157740,Vancouver,"49.181866,-123.1058","49.328865,-123.12571",25.6,33.75,48.13,14.38,42.6,56.45,22.69603174603175
2155,101608810,Toronto,"43.649174,-79.370255","43.658363,-79.69229",34.9,25.84,40.2,14.37,55.62,45.19,19.35157894736842
2156,101552110,Montreal,"45.509888,-73.58492","45.59908,-73.74457",26.4,36.18,50.55,14.37,39.72,59.31,23.12725490196079
2157,101562990,Montreal,"45.507484,-73.57222","45.68765,-73.90696",38.8,39.31,53.68,14.37,36.57,64.17,24.857936507936515
2158,101559520,Montreal,"45.509647,-73.58218","45.539715,-73.912796",42.3,40.38,54.75,14.37,35.58,66.54,26.15699999999999
2159,14179340,Toronto,"43.653893,-79.387764","43.698093,-79.561485",26.1,25.97,40.33,14.36,55.31,47.5,21.53333333333333
2160,101562351,Montreal,"45.57073,-73.89323","45.510128,-73.58286",37.2,36.86,51.22,14.36,38.96,61.6,24.73840579710145
2161,201320721,Montreal,"45.58274,-73.540634","45.55943,-73.49497",11.9,14.65,29.0,14.36,98.05,33.15,18.50490196078432
2162,101637321,Vancouver,"49.20834,-122.867874","49.24623,-123.12296",31.8,32.92,47.28,14.36,43.61,52.67,19.748333333333335
2163,101631660,Vancouver,"49.249817,-123.11541","49.289467,-122.84693",31.1,36.38,50.74,14.36,39.49,65.38,29.001111111111115
2164,101616240,Toronto,"43.65638,-79.38193","43.776478,-79.229836",25.2,29.81,44.16,14.35,48.15,57.5,27.693650793650797
2165,45585601,Montreal,"45.521893,-73.57468","45.50339,-73.68964",15.8,23.27,37.62,14.35,61.69,43.94,20.67472222222222
2166,304130691,Vancouver,"49.2543,-122.762474","49.219776,-123.13704",36.8,37.3,51.64,14.35,38.47,55.61,18.311666666666667
2167,5275021,St. Catharines-Niagara,"43.628483,-79.39596","43.196598,-79.26005",108.9,89.53,103.88,14.35,16.03,121.42,31.889814814814798
2168,101562600,Montreal,"45.509888,-73.58492","45.62718,-73.57703",24.7,36.08,50.41,14.34,39.74,64.6,28.520476190476202
2169,13245481,Montreal,"45.601242,-73.585266","45.512295,-73.58252",16.9,29.57,43.91,14.34,48.51,49.68,20.106666666666662
2170,14182090,Vancouver,"49.2478,-123.12605","49.223812,-122.9204",19.4,28.45,42.78,14.34,50.39,52.04,23.593518518518522
2171,13254611,Toronto,"43.736305,-79.3706","43.647434,-79.39703",18.2,22.26,36.6,14.34,64.44,42.09,19.835526315789476
2172,101611200,Toronto,"43.6606,-79.39154","43.698837,-79.59925",28.3,27.08,41.41,14.33,52.89,48.46,21.37527777777778
2173,101557930,Montreal,"45.510128,-73.59213","45.75548,-73.60209",41.1,40.56,54.89,14.33,35.33,62.85,22.29435897435897
2174,101564041,Montreal,"45.56135,-73.9073","45.511814,-73.58149",39.6,38.14,52.46,14.32,37.54,60.62,22.485238095238103
2175,101636230,Vancouver,"49.251385,-123.13189","49.315662,-123.08451",14.7,24.27,38.59,14.32,58.99,42.52,18.245238095238093
2176,101636170,Vancouver,"49.250042,-123.1288","49.221123,-122.85208",26.1,30.35,44.67,14.32,47.18,64.63,34.279999999999994
2177,304161231,Vancouver,"49.22045,-123.090004","49.195553,-122.806076",30.0,30.25,44.56,14.32,47.33,52.44,22.195087719298247
2178,304126041,Vancouver,"49.262142,-123.2572","49.23592,-122.87234",32.6,38.72,53.03,14.31,36.96,76.31,37.589275362318844
2179,101622750,Toronto,"43.654392,-79.38845","43.557186,-79.590324",24.6,23.24,37.55,14.31,61.58,42.52,19.28397435897436
2180,13253421,Toronto,"43.67699,-79.49282","43.648182,-79.373344",15.1,21.29,35.6,14.31,67.22,38.31,17.015333333333334
2181,101640771,Vancouver,"49.129997,-122.89568","49.249817,-123.11953",29.9,27.36,41.66,14.3,52.26,45.01,17.653684210526308
2182,14170830,Montreal,"45.509888,-73.58492","45.64542,-73.58115",27.0,40.46,54.76,14.3,35.34,65.6,25.139047619047624
2183,101632670,Vancouver,"49.248024,-123.11747","49.120564,-122.90736",29.8,26.89,41.18,14.29,53.14,50.51,23.613958333333333
2184,101608641,Toronto,"43.814148,-79.51411","43.65141,-79.388794",44.2,40.72,55.01,14.29,35.09,61.79,21.070000000000007
2185,14171161,Montreal,"45.63678,-73.643974","45.509888,-73.58492",28.9,37.91,52.2,14.29,37.71,67.42,29.51444444444445
2186,13247001,Montreal,"45.59836,-73.61548","45.509888,-73.58492",19.2,34.89,49.18,14.29,40.96,51.28,16.385396825396818
2187,13254110,Toronto,"43.649174,-79.38399","43.68593,-79.49557",15.3,23.3,37.59,14.29,61.32,45.87,22.56603174603175
2188,303914951,Montreal,"45.622135,-73.82559","45.489918,-73.50939",44.5,34.76,49.06,14.29,41.12,66.93,32.1678787878788
2189,101629311,Vancouver,"49.269535,-122.80573","49.241524,-123.12811",31.9,33.72,48.02,14.29,42.39,53.91,20.18611111111111
2190,101635570,Vancouver,"49.250042,-123.1185","49.201385,-122.8895",33.1,31.47,45.75,14.28,45.38,57.66,26.18649122807017
2191,101553641,Montreal,"45.5058,-73.46579","45.51446,-73.57943",12.3,18.3,32.58,14.28,78.07,42.36,24.06115384615385
2192,14181250,Vancouver,"49.248695,-123.11816","49.203182,-122.92143",20.5,26.45,40.73,14.28,53.99,47.48,21.033333333333335
2193,304114990,Toronto,"43.722908,-79.58174","43.706036,-79.2858",39.5,35.19,49.46,14.27,40.55,54.9,19.709629629629625
2194,101612780,Toronto,"43.652653,-79.38536","43.62184,-79.56423",19.1,21.86,36.13,14.27,65.28,42.57,20.712361111111104
2195,304084540,Toronto,"43.478016,-79.68714","43.751686,-79.28854",67.2,46.49,60.76,14.27,30.69,67.02,20.527777777777793
2196,101641221,Vancouver,"49.30469,-123.044","49.25273,-123.10477",13.3,20.21,34.47,14.26,70.53,45.13,24.92173913043479
2197,431073181,Montreal,"45.53017,-73.60811","45.704674,-73.618225",29.5,27.24,41.5,14.26,52.33,52.95,25.70701754385966
2198,14177561,Toronto,"43.77846,-79.30846","43.653397,-79.38433",21.6,22.43,36.69,14.26,63.59,44.11,21.677000000000003
2199,303962800,Montreal,"45.650223,-73.604836","45.457172,-73.89357",45.6,35.4,49.65,14.25,40.25,54.48,19.080000000000005
2200,101610490,Toronto,"43.655384,-79.38605","43.546238,-79.71976",39.2,33.84,48.09,14.25,42.1,52.74,18.898505747126435
2201,303938970,Montreal,"45.488712,-73.68414","45.49184,-73.42528",26.8,27.32,41.56,14.24,52.13,48.43,21.114912280701752
2202,101510351,Edmonton,"53.407635,-113.52778","53.54372,-113.504776",18.2,23.59,37.84,14.24,60.37,44.59,21.0
2203,101550090,Montreal,"45.507244,-73.57943","45.592113,-73.813576",26.2,29.38,43.61,14.24,48.46,57.43,28.05466666666667
2204,101620971,Toronto,"43.8612,-79.45334","43.64793,-79.37197",37.8,29.51,43.75,14.23,48.22,54.37,24.858840579710144
2205,13254590,Toronto,"43.6529,-79.38742","43.69834,-79.496254",15.4,27.68,41.9,14.22,51.36,47.28,19.60111111111111
2206,101614121,Toronto,"43.66557,-79.54878","43.653893,-79.390854",21.1,27.43,41.66,14.22,51.85,46.49,19.058115942028977
2207,101634391,Vancouver,"49.277824,-122.79028","49.24959,-123.11919",31.0,32.52,46.74,14.22,43.72,51.79,19.26814814814815
2208,14170971,Montreal,"45.63222,-73.49497","45.511574,-73.576",18.2,31.28,45.5,14.22,45.45,53.59,22.31138888888889
2209,304128690,Vancouver,"49.261917,-122.90083","49.26707,-123.25377",32.4,40.15,54.35,14.21,35.39,59.72,19.579761904761902
2210,13254021,Toronto,"43.710255,-79.28854","43.652653,-79.381584",14.8,20.21,34.43,14.21,70.32,37.75,17.5375
2211,101623391,Toronto,"43.782677,-79.27138","43.653397,-79.3833",24.4,25.52,39.73,14.21,55.69,45.7,20.18190476190476
2212,303942070,Montreal,"45.460064,-73.89666","45.459583,-73.64638",25.9,31.47,45.67,14.2,45.13,56.77,25.297619047619044
2213,13253721,Toronto,"43.7177,-79.2961","43.651905,-79.38399",16.3,19.56,33.74,14.18,72.47,44.8,25.23666666666667
2214,14170051,Montreal,"45.64254,-73.55471","45.509888,-73.58492",23.8,37.46,51.64,14.18,37.85,60.87,23.41111111111112
2215,303927891,Montreal,"45.469936,-73.81426","45.50315,-73.60037",30.4,30.94,45.12,14.18,45.81,50.38,19.43148148148148
2216,101632771,Vancouver,"49.2543,-122.81603","49.24556,-123.11713",28.0,28.23,42.41,14.18,50.24,47.57,19.34395833333334
2217,101556001,Montreal,"45.594997,-73.55128","45.510612,-73.583206",14.6,31.33,45.5,14.18,45.26,50.63,19.302936507936504
2218,304154321,Vancouver,"49.281406,-123.0234","49.120564,-123.14631",28.3,34.76,48.94,14.17,40.77,55.69,20.92583333333333
2219,303942160,Montreal,"45.56039,-73.477806","45.671337,-73.751434",36.7,33.84,48.01,14.17,41.87,61.73,27.888015873015867
2220,101608600,Toronto,"43.651657,-79.38536","43.793087,-79.568695",41.3,34.54,48.71,14.17,41.01,58.28,23.738541666666663
2221,304098101,Toronto,"43.657124,-79.712204","43.768547,-79.31189",47.0,26.4,40.56,14.17,53.66,46.66,20.260833333333338
2222,101626140,Toronto,"43.646442,-79.38193","43.739532,-79.55599",31.3,30.6,44.77,14.17,46.31,54.45,23.85
2223,45579370,Montreal,"45.53106,-73.811516","45.524082,-73.57625",30.9,30.54,44.71,14.16,46.38,53.46,22.918333333333333
2224,101619540,Toronto,"43.652405,-79.376434","43.80399,-79.379524",24.5,27.78,41.94,14.16,50.97,65.44,37.66183908045977
2225,303960750,Montreal,"45.52168,-73.49291","45.594276,-73.52999",15.9,17.77,31.93,14.16,79.68,43.15,25.380246913580248
