rank,tripid,cityname_corrected,origin,dest,trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
889,303853481,Halifax,"44.672005,-63.512177","44.65833,-63.603157",13.9,14.77,16.28,1.51,10.24,16.75,1.9753703703703707
890,303842540,Halifax,"44.689335,-63.58393","44.627796,-63.61998",11.9,16.07,17.57,1.5,9.34,18.2,2.132280701754386
891,101536781,Kitchener-Cambrigde-Waterloo,"43.495453,-80.513176","43.415203,-80.51558",17.9,15.21,16.7,1.49,9.82,17.64,2.432843137254901
892,101607071,St. Catharines-Niagara,"43.127228,-79.17628","43.166805,-79.24975",14.3,11.86,13.35,1.49,12.55,13.81,1.9485185185185205
893,53820601,Saskatoon,"52.15739,-106.65385","52.098854,-106.58305",10.1,8.94,10.42,1.49,16.64,11.13,2.192333333333334
894,303798911,Calgary,"50.961395,-114.045166","50.901024,-113.98268",13.8,12.1,13.58,1.48,12.24,15.22,3.1230392156862727
895,303957361,Montreal,"45.563034,-73.40296","45.454285,-73.4191",14.8,13.16,14.64,1.48,11.22,17.52,4.363529411764706
896,201261240,Calgary,"51.132126,-114.11967","51.13902,-114.03727",11.1,11.14,12.6,1.47,13.17,13.09,1.950392156862744
897,303928091,Montreal,"45.44682,-73.87675","45.478363,-73.80087",12.1,10.18,11.66,1.47,14.46,12.12,1.9416666666666664
898,101567340,Oshawa,"43.899803,-78.849434","43.876793,-78.936295",11.1,11.34,12.8,1.47,12.94,13.13,1.7978260869565208
899,304184960,Windsor,"42.306953,-82.908195","42.279526,-83.05033",13.9,11.57,13.03,1.46,12.6,13.5,1.9349122807017523
900,304153251,Vancouver,"49.344078,-123.17103","49.26304,-122.81809",38.8,29.21,30.67,1.46,5.01,32.8,3.59416666666667
901,303886431,Kitchener-Cambrigde-Waterloo,"43.44612,-80.447945","43.454098,-80.56021",14.6,16.16,17.62,1.46,9.02,18.4,2.240588235294119
902,303791881,Calgary,"51.12006,-114.24258","51.095055,-114.15228",11.1,11.56,13.03,1.46,12.66,14.31,2.7491666666666674
903,101539580,Kitchener-Cambrigde-Waterloo,"43.421936,-80.50871","43.46157,-80.47404",10.4,9.64,11.1,1.46,15.14,12.22,2.586666666666668
904,304031681,Quebec,"46.80775,-71.2953","46.766846,-71.370834",10.9,8.82,10.27,1.45,16.39,13.1,4.279012345679011
905,12333310,St. Catharines-Niagara,"43.15829,-79.240135","43.194344,-79.20443",14.1,11.81,13.26,1.45,12.27,13.79,1.973421052631581
906,201265551,Calgary,"51.095486,-114.23811","51.143112,-114.17254",15.2,12.92,14.37,1.45,11.26,14.99,2.0744444444444454
907,304057371,St. Catharines-Niagara,"43.17632,-79.246315","43.09941,-79.20031",21.4,14.76,16.2,1.44,9.79,17.13,2.3711111111111087
908,201266160,Calgary,"51.160557,-114.13683","51.116394,-114.22095",14.9,11.8,13.24,1.44,12.24,13.7,1.9009649122807026
909,47261431,St. Catharines-Niagara,"43.15855,-79.24267","43.110687,-79.19791",12.4,11.43,12.86,1.44,12.57,13.14,1.714603174603175
910,101535821,Kitchener-Cambrigde-Waterloo,"43.46207,-80.470604","43.42792,-80.517296",11.7,9.07,10.5,1.44,15.84,10.98,1.9114814814814807
911,47261181,St. Catharines-Niagara,"43.170254,-79.05718","43.186085,-79.22743",19.7,17.7,19.14,1.44,8.14,20.3,2.603921568627449
912,303956451,Montreal,"45.58274,-73.68826","45.64254,-73.57909",17.3,19.0,20.44,1.44,7.56,21.0,1.9958333333333336
913,101539371,Kitchener-Cambrigde-Waterloo,"43.481007,-80.48502","43.42518,-80.51146",14.3,11.35,12.79,1.44,12.68,13.86,2.506666666666666
914,201263191,Calgary,"51.168736,-114.074005","51.149574,-114.173225",11.6,10.9,12.34,1.43,13.15,12.95,2.0480392156862735
915,304072720,Toronto,"43.679226,-79.63496","43.6904,-79.64285",11.3,14.94,16.37,1.43,9.58,16.65,1.7144444444444442
916,304032730,Saskatoon,"52.10982,-106.602615","52.130478,-106.6754",11.9,11.8,13.23,1.43,12.14,13.96,2.159920634920633
917,303997891,Ottawa,"45.470898,-75.72039","45.507004,-75.65241",10.7,9.29,10.72,1.43,15.41,11.22,1.9288235294117637
918,303964110,Montreal,"45.675896,-73.749374","45.681652,-73.76105",14.4,13.52,14.95,1.43,10.57,15.67,2.1492424242424235
919,201327571,Ottawa,"45.47475,-75.71902","45.460545,-75.75472",10.3,10.72,12.15,1.43,13.36,12.47,1.7526984126984129
920,53824891,Toronto,"43.825905,-79.350945","43.89906,-79.251465",16.8,15.29,16.71,1.43,9.33,17.08,1.7891666666666683
921,303783920,Calgary,"51.122215,-114.24738","51.158833,-114.13924",14.9,13.94,15.37,1.42,10.2,15.89,1.9458823529411742
922,303892991,Kitchener-Cambrigde-Waterloo,"43.49819,-80.49979","43.46282,-80.437645",10.8,11.35,12.78,1.42,12.56,13.92,2.5666666666666647
923,304012751,Quebec,"46.820908,-71.27848","46.775078,-71.36706",11.8,12.03,13.44,1.41,11.7,14.43,2.3943137254901963
924,53784910,Hamilton,"43.24013,-79.7328","43.239708,-79.77096",11.2,9.87,11.28,1.41,14.29,12.77,2.907051282051281
925,304018920,Quebec,"46.87421,-71.26509","46.816444,-71.23625",10.1,10.88,12.29,1.41,12.96,13.52,2.6342592592592613
926,53776121,Edmonton,"53.592983,-113.41771","53.55657,-113.41036",10.4,13.94,15.36,1.41,10.13,15.87,1.9292156862745085
927,304056481,St. Catharines-Niagara,"43.18333,-79.22022","43.171814,-79.224686",12.2,9.51,10.92,1.41,14.81,11.26,1.7464814814814815
928,303784330,Calgary,"50.915745,-114.09838","50.97177,-114.11829",12.7,12.35,13.75,1.4,11.31,15.26,2.91
929,304189341,Windsor,"42.334114,-82.94459","42.280796,-82.997116",10.8,9.93,11.34,1.4,14.13,12.12,2.1842592592592602
930,201330991,Ottawa,"45.477398,-75.71764","45.459343,-75.76056",11.2,12.35,13.75,1.4,11.36,14.2,1.8529411764705888
931,101533941,Kitchener-Cambrigde-Waterloo,"43.454845,-80.4658","43.423683,-80.50562",10.9,10.36,11.76,1.4,13.55,12.68,2.3230555555555554
932,303805140,Calgary,"50.91683,-113.93908","50.8798,-113.97925",10.4,10.82,12.22,1.4,12.95,12.59,1.777708333333333
933,304113540,Toronto,"43.612892,-79.75512","43.5328,-79.71392",20.6,12.98,14.38,1.39,10.72,14.51,1.5260493827160513
934,201261761,Calgary,"51.06982,-114.20138","51.11079,-114.15812",16.0,13.3,14.69,1.39,10.43,15.25,1.9466666666666672
935,304115010,Toronto,"43.83223,-79.40768","43.787136,-79.50003",12.1,9.14,10.53,1.39,15.16,11.4,2.2583333333333346
936,304056751,St. Catharines-Niagara,"43.130737,-79.15774","43.185833,-79.242195",12.4,10.62,12.0,1.38,12.94,12.24,1.6183333333333323
937,47261430,St. Catharines-Niagara,"43.110687,-79.19791","43.15855,-79.24267",12.2,11.9,13.28,1.38,11.58,14.86,2.953636363636363
938,53773800,Edmonton,"53.484516,-113.65481","53.456276,-113.5727",11.0,11.85,13.23,1.38,11.64,14.14,2.291515151515151
939,201371061,Toronto,"43.788128,-79.65178","43.680466,-79.70362",16.0,12.42,13.8,1.38,11.14,14.25,1.8303921568627448
940,304090960,Toronto,"43.653645,-79.76473","43.58107,-79.7843",15.7,12.82,14.19,1.37,10.7,14.63,1.81111111111111
941,47244121,Calgary,"50.91471,-114.01077","50.90947,-114.04482",10.1,13.22,14.59,1.37,10.36,15.47,2.25
942,304051020,St. Catharines-Niagara,"43.147022,-79.18967","43.18508,-79.247",11.6,10.51,11.88,1.37,13.04,12.81,2.2980158730158724
943,304053411,St. Catharines-Niagara,"43.18458,-79.220566","43.13174,-79.17456",10.2,10.26,11.63,1.36,13.28,11.83,1.5696078431372538
944,201361950,Toronto,"43.81687,-79.546036","43.85303,-79.4039",19.4,12.69,14.05,1.36,10.76,14.38,1.6915789473684217
945,304034040,Saskatoon,"52.119728,-106.66922","52.12753,-106.7269",10.4,9.45,10.8,1.35,14.27,11.88,2.4258333333333333
946,201290720,Hamilton,"43.21887,-79.78327","43.244385,-79.77091",11.8,9.99,11.35,1.35,13.56,12.3,2.3111764705882365
947,201356930,Toronto,"43.829258,-79.42587","43.785404,-79.54466",19.2,13.9,15.25,1.35,9.68,15.64,1.7357407407407415
948,304181811,Windsor,"42.292225,-82.97411","42.25107,-83.028015",10.8,9.58,10.94,1.35,14.13,11.41,1.8274603174603161
949,304057491,St. Catharines-Niagara,"43.12623,-79.17422","43.193344,-79.23636",12.9,14.55,15.9,1.35,9.27,16.52,1.9638888888888886
950,101566460,Oshawa,"43.903267,-78.84909","43.865654,-78.9284",11.3,11.11,12.46,1.35,12.12,13.04,1.9293939393939397
951,201315261,Montreal,"45.64326,-73.642944","45.64854,-73.53995",16.9,15.37,16.72,1.35,8.8,17.37,1.998333333333333
952,303981441,Ottawa,"45.43887,-75.708374","45.48125,-75.62975",10.2,13.65,14.99,1.34,9.83,15.71,2.0653703703703723
953,303804661,Calgary,"51.12243,-114.04551","51.171104,-114.11864",17.9,13.61,14.95,1.34,9.84,15.15,1.545438596491227
954,303800691,Calgary,"51.12717,-114.23537","51.13708,-114.13271",13.0,12.09,13.44,1.34,11.12,13.94,1.8475490196078432
955,303889310,Kitchener-Cambrigde-Waterloo,"43.482502,-80.52931","43.460327,-80.43593",11.9,11.38,12.71,1.34,11.77,13.0,1.6283333333333339
956,48158960,Windsor,"42.230736,-82.96759","42.278664,-83.02608",12.8,11.0,12.35,1.34,12.21,12.62,1.6166666666666654
957,48159131,Windsor,"42.277374,-83.03199","42.29781,-82.926735",10.6,8.27,9.61,1.34,16.25,10.61,2.340740740740742
958,303891730,Kitchener-Cambrigde-Waterloo,"43.416203,-80.51146","43.466557,-80.48159",11.7,10.77,12.1,1.33,12.4,13.28,2.5181159420289863
959,47250161,Kitchener-Cambrigde-Waterloo,"43.59011,-80.556076","43.50093,-80.51489",15.3,15.15,16.48,1.33,8.78,17.03,1.8827777777777772
960,101535820,Kitchener-Cambrigde-Waterloo,"43.42792,-80.517296","43.46207,-80.470604",10.4,8.7,10.03,1.33,15.3,10.69,1.987460317460318
961,201400930,Winnipeg,"49.80647,-97.209305","49.847443,-97.2711",10.3,12.07,13.39,1.32,10.94,14.01,1.9411111111111108
962,303880880,Kitchener-Cambrigde-Waterloo,"43.414955,-80.49017","43.46207,-80.48811",11.3,11.25,12.57,1.32,11.69,13.01,1.7555555555555564
963,14168641,Hamilton,"43.225624,-79.66757","43.257637,-79.84644",17.9,16.27,17.59,1.32,8.12,17.9,1.630793650793649
964,201371931,Toronto,"43.83644,-79.555305","43.745235,-79.66551",19.4,15.41,16.74,1.32,8.59,17.39,1.979166666666666
965,201327271,Ottawa,"45.46825,-75.755066","45.485344,-75.70975",11.1,11.14,12.45,1.32,11.81,13.21,2.0706521739130412
966,303894991,Kitchener-Cambrigde-Waterloo,"43.49172,-80.509056","43.407223,-80.473694",17.0,15.96,17.27,1.31,8.2,17.79,1.835694444444444
967,101535501,Kitchener-Cambrigde-Waterloo,"43.439888,-80.445885","43.427174,-80.51043",10.2,9.58,10.88,1.31,13.66,11.2,1.6212698412698412
968,101591320,Quebec,"46.813625,-71.20089","46.77696,-71.33135",16.5,18.6,19.89,1.3,6.97,20.29,1.6962962962962962
969,101538130,Kitchener-Cambrigde-Waterloo,"43.43241,-80.52073","43.460823,-80.45859",12.1,11.51,12.81,1.3,11.25,13.34,1.8318750000000001
970,431139711,Windsor,"42.273106,-83.00584","42.299843,-82.822365",17.3,14.42,15.71,1.3,9.0,16.08,1.6583333333333314
971,101604030,St. Catharines-Niagara,"43.165302,-79.251465","43.121716,-79.16289",12.7,10.79,12.08,1.29,11.94,12.41,1.6185897435897445
972,303893981,Kitchener-Cambrigde-Waterloo,"43.49047,-80.49979","43.430164,-80.47129",13.3,9.9,11.19,1.29,13.02,12.17,2.2638888888888893
973,101537270,Kitchener-Cambrigde-Waterloo,"43.422188,-80.51764","43.469547,-80.455154",11.5,8.69,9.98,1.28,14.75,10.64,1.9474637681159415
974,14167281,Hamilton,"43.22037,-79.661736","43.257637,-79.84164",18.0,17.51,18.79,1.28,7.31,19.44,1.9292156862745102
975,201339831,Quebec,"46.790592,-71.29565","46.75932,-71.267494",11.0,9.0,10.26,1.27,14.1,10.81,1.8146296296296303
976,12333650,St. Catharines-Niagara,"43.166805,-79.25009","43.15003,-79.19207",11.8,10.16,11.43,1.27,12.5,12.0,1.8399999999999999
977,304063670,Toronto,"43.82009,-79.47394","43.774,-79.548096",17.3,12.94,14.21,1.27,9.8,14.44,1.5011111111111113
978,101603691,St. Catharines-Niagara,"43.130486,-79.15911","43.168056,-79.25387",12.4,11.02,12.28,1.27,11.48,12.89,1.8775438596491227
979,48149601,Montreal,"45.731735,-73.65025","45.692924,-73.607925",10.7,10.23,11.5,1.27,12.4,11.77,1.535185185185183
980,303871061,Hamilton,"43.225624,-79.665855","43.259388,-79.83134",16.1,14.01,15.28,1.27,9.06,15.73,1.7131746031746022
981,304055560,St. Catharines-Niagara,"43.192593,-79.26005","43.12748,-79.22331",16.9,13.56,14.82,1.26,9.29,15.59,2.0325490196078437
982,431105691,St. Catharines-Niagara,"43.1747,-79.210526","43.114197,-79.223656",11.1,11.66,12.92,1.26,10.83,13.6,1.9429824561403493
983,303822401,Edmonton,"53.4837,-113.65378","53.54943,-113.620476",11.2,11.36,12.62,1.26,11.08,13.7,2.342549019607846
984,304050450,St. Catharines-Niagara,"43.188587,-79.24494","43.147774,-79.18692",11.6,11.4,12.66,1.25,10.98,13.59,2.1886363636363626
985,304057711,St. Catharines-Niagara,"43.1375,-79.259705","43.101166,-79.1955",12.0,12.23,13.48,1.25,10.23,13.84,1.6141666666666659
986,101651081,Windsor,"42.32447,-82.94356","42.28181,-83.00673",11.6,10.6,11.85,1.24,11.72,12.46,1.855833333333333
987,201270500,Edmonton,"53.508617,-113.57001","53.491463,-113.52881",10.1,12.18,13.41,1.24,10.16,14.15,1.9700000000000006
988,201330241,Ottawa,"45.466564,-75.7506","45.4839,-75.71284",10.3,10.88,12.11,1.23,11.35,12.91,2.0318627450980387
989,101653621,Windsor,"42.288162,-83.07539","42.278,-83.006386",12.2,9.59,10.82,1.23,12.78,11.23,1.6386666666666674
990,101537191,Kitchener-Cambrigde-Waterloo,"43.497944,-80.57051","43.425426,-80.51077",11.0,16.73,17.96,1.23,7.36,18.81,2.0741666666666667
991,53773511,Edmonton,"53.58753,-113.40574","53.543922,-113.41208",10.5,14.11,15.34,1.23,8.72,16.13,2.0165217391304324
992,101537561,Kitchener-Cambrigde-Waterloo,"43.45609,-80.47747","43.418446,-80.50734",10.9,10.36,11.6,1.23,11.9,12.48,2.1193333333333335
993,201307890,Montreal,"45.6615,-73.76826","45.584663,-73.848595",14.3,12.75,13.98,1.23,9.66,14.31,1.559166666666668
994,431052791,Hamilton,"43.25738,-79.92288","43.233627,-79.92575",10.7,11.86,13.08,1.22,10.31,13.83,1.9713043478260879
995,101649731,Windsor,"42.319393,-82.93875","42.280285,-83.01085",10.4,9.68,10.9,1.22,12.56,11.48,1.7992063492063473
996,44137861,Edmonton,"53.542595,-113.31127","53.57186,-113.41826",11.9,11.1,12.32,1.22,10.95,13.75,2.6523529411764706
997,12319081,Kitchener-Cambrigde-Waterloo,"43.46282,-80.47884","43.425426,-80.511116",10.5,8.23,9.45,1.22,14.84,10.66,2.434333333333333
998,304035050,Saskatoon,"52.110455,-106.60914","52.11446,-106.68776",13.2,11.34,12.54,1.21,10.66,12.97,1.6349122807017533
999,45589490,Ottawa,"45.477158,-75.78219","45.462605,-75.74606",11.3,7.88,9.08,1.21,15.34,9.44,1.5666666666666664
1000,47245281,Calgary,"50.91471,-114.01077","50.915962,-113.98337",12.1,11.51,12.71,1.2,10.46,14.24,2.7300000000000004
1001,303871860,Hamilton,"43.21912,-79.84885","43.22062,-79.70877",19.9,17.2,18.39,1.19,6.91,18.74,1.5387499999999967
1002,304196450,Winnipeg,"49.833492,-97.076096","49.788517,-97.15128",12.3,13.22,14.41,1.19,8.97,14.96,1.7357843137254907
1003,303846681,Halifax,"44.661747,-63.513893","44.686405,-63.58908",10.1,11.03,12.21,1.18,10.71,12.56,1.5289682539682534
1004,101606991,St. Catharines-Niagara,"43.13224,-79.1828","43.166805,-79.25593",12.8,17.72,18.9,1.18,6.63,19.67,1.948888888888888
1005,101537881,Kitchener-Cambrigde-Waterloo,"43.497444,-80.51352","43.42119,-80.5118",17.2,13.87,15.05,1.18,8.53,15.44,1.5727160493827164
1006,304011331,Quebec,"46.82866,-71.24346","46.88336,-71.163124",13.3,12.44,13.63,1.18,9.52,14.23,1.7901960784313733
1007,304181070,Windsor,"42.291718,-82.94356","42.243443,-83.016",14.9,11.46,12.64,1.18,10.32,12.77,1.309375000000001
1008,304003371,Ottawa,"45.46873,-75.71009","45.45862,-75.73859",16.3,13.04,14.22,1.18,9.02,15.03,1.9864814814814835
1009,13242221,Kitchener-Cambrigde-Waterloo,"43.51612,-80.50322","43.425426,-80.511116",18.7,15.82,16.99,1.17,7.38,17.34,1.5180701754385968
1010,101602740,St. Catharines-Niagara,"43.16731,-79.25799","43.13274,-79.168724",11.8,10.29,11.47,1.17,11.4,11.8,1.5034848484848489
1011,13251421,Quebec,"46.873505,-71.322426","46.813152,-71.22252",12.9,12.21,13.38,1.16,9.53,14.14,1.929999999999998
1012,13242231,Kitchener-Cambrigde-Waterloo,"43.511143,-80.54648","43.425426,-80.511116",26.5,17.88,19.04,1.16,6.46,19.7,1.8199999999999967
1013,13240030,Hamilton,"43.241882,-79.83786","43.23613,-79.713234",16.2,15.16,16.32,1.16,7.63,17.12,1.9618055555555554
1014,303876960,Hamilton,"43.215115,-79.88421","43.254387,-79.90618",12.0,9.57,10.74,1.16,12.13,11.38,1.8016666666666676
1015,13261901,Windsor,"42.313553,-82.90133","42.282825,-83.014626",11.7,9.14,10.31,1.16,12.74,10.74,1.5983333333333327
1016,53786041,Hamilton,"43.21277,-79.846565","43.24213,-79.78121",11.3,10.66,11.82,1.16,10.89,12.26,1.5946969696969688
1017,304184950,Windsor,"42.293747,-83.07539","42.287907,-82.97377",12.2,10.5,11.65,1.15,10.91,12.2,1.6962121212121204
1018,201317631,Montreal,"45.607727,-73.67007","45.622375,-73.59179",12.8,14.44,15.59,1.15,7.99,16.23,1.793333333333333
1019,304054301,St. Catharines-Niagara,"43.138004,-79.241165","43.120964,-79.23121",10.5,9.25,10.39,1.14,12.33,11.42,2.174122807017545
1020,13242041,Kitchener-Cambrigde-Waterloo,"43.514378,-80.49876","43.42443,-80.51043",18.6,15.72,16.86,1.14,7.27,17.56,1.8426470588235286
1021,303865371,Hamilton,"43.22287,-79.89588","43.228127,-79.80662",14.0,14.26,15.4,1.14,7.98,16.13,1.8687500000000004
1022,201266071,Calgary,"51.073917,-114.22232","51.120705,-114.184555",11.0,12.45,13.6,1.14,9.19,14.1,1.644705882352941
1023,304044320,Saskatoon,"52.11256,-106.57206","52.156185,-106.643814",10.9,12.26,13.39,1.13,9.26,13.71,1.4547916666666652
1024,303978161,Oshawa,"43.88298,-78.81888","43.882236,-78.91535",11.0,10.71,11.84,1.13,10.55,12.18,1.461274509803923
1025,201261070,Calgary,"50.91185,-113.948006","50.892796,-114.07126",10.3,8.37,9.5,1.13,13.53,10.17,1.8022807017543858
1026,303877201,Hamilton,"43.215614,-79.764046","43.209362,-79.82859",11.5,14.3,15.43,1.13,7.91,15.63,1.3273684210526326
1027,431036910,Calgary,"51.13428,-114.2388","51.157784,-114.15751",10.3,11.01,12.14,1.13,10.28,12.64,1.627894736842105
1028,303895100,Kitchener-Cambrigde-Waterloo,"43.418198,-80.46305","43.468548,-80.51661",12.0,10.99,12.11,1.12,10.16,12.49,1.4969841269841275
1029,53849350,Windsor,"42.285114,-82.96587","42.28511,-83.0171",10.8,8.33,9.45,1.12,13.47,9.88,1.5522222222222215
1030,201401371,Winnipeg,"49.935028,-97.235054","49.896786,-97.2505",12.9,15.05,16.17,1.12,7.47,16.42,1.3708333333333353
1031,304042020,Saskatoon,"52.10961,-106.618065","52.113827,-106.696686",11.6,11.68,12.79,1.11,9.52,13.36,1.6855555555555561
1032,304039450,Saskatoon,"52.099487,-106.5803","52.1191,-106.68879",15.2,15.29,16.4,1.11,7.26,16.98,1.6840740740740756
1033,201262500,Calgary,"51.062916,-114.19451","51.104755,-114.167046",15.8,12.72,13.83,1.11,8.72,14.42,1.7014035087719304
1034,304047200,St. Catharines-Niagara,"43.171814,-79.22606","43.1628,-79.21507",10.7,10.08,11.19,1.11,11.02,11.38,1.3039682539682538
1035,303845210,Halifax,"44.673958,-63.543076","44.66492,-63.624443",11.3,11.18,12.28,1.09,9.77,13.67,2.484259259259261
1036,101540121,Kitchener-Cambrigde-Waterloo,"43.46232,-80.43387","43.42443,-80.5118",11.7,12.6,13.68,1.09,8.62,14.38,1.788235294117646
1037,42259070,St. Catharines-Niagara,"43.134747,-79.16701","43.09079,-79.07517",11.5,10.5,11.59,1.09,10.42,12.18,1.680370370370369
1038,101533981,Kitchener-Cambrigde-Waterloo,"43.46456,-80.47507","43.426178,-80.5118",10.8,8.66,9.74,1.08,12.46,10.24,1.5854901960784318
1039,101606271,St. Catharines-Niagara,"43.14276,-79.18108","43.16906,-79.255585",12.3,13.16,14.24,1.08,8.24,14.82,1.6670289855072458
1040,201353380,St. Catharines-Niagara,"43.16831,-79.21164","43.178825,-79.219536",10.0,7.55,8.62,1.08,14.26,9.17,1.6280952380952387
1041,53851010,Winnipeg,"49.816437,-97.10425","49.798637,-97.128944",10.1,12.67,13.74,1.07,8.41,14.29,1.612156862745099
1042,303957921,Montreal,"45.713783,-73.66217","45.623817,-73.624405",12.7,11.81,12.88,1.07,9.1,13.12,1.3166666666666664
1043,303938400,Montreal,"45.605083,-73.422874","45.569767,-73.43592",10.2,9.04,10.11,1.07,11.85,10.55,1.5149122807017559
1044,101594121,Saskatoon,"52.137856,-106.58888","52.108765,-106.629395",10.2,11.93,12.99,1.06,8.86,13.49,1.5633333333333344
1045,12315900,Halifax,"44.658085,-63.586678","44.676888,-63.526596",13.7,13.34,14.4,1.06,7.98,14.79,1.448125000000001
1046,304055621,St. Catharines-Niagara,"43.105675,-79.19035","43.164303,-79.22846",11.6,10.33,11.39,1.06,10.22,11.91,1.5759259259259242
1047,101533541,Kitchener-Cambrigde-Waterloo,"43.45584,-80.47884","43.424183,-80.50871",10.6,9.24,10.29,1.05,11.4,10.67,1.4266666666666676
1048,201266611,Calgary,"51.16572,-114.08705","51.141605,-114.18009",10.3,11.02,12.05,1.04,9.42,12.52,1.5
1049,303846541,Halifax,"44.657597,-63.62101","44.672493,-63.547195",10.8,12.34,13.38,1.04,8.43,13.71,1.372916666666665
1050,201263501,Calgary,"51.06788,-114.22095","51.112946,-114.18387",12.4,9.98,11.01,1.03,10.31,11.9,1.9191666666666656
1051,201275000,Edmonton,"53.45427,-113.58305","53.49187,-113.6476",10.9,11.97,13.0,1.03,8.62,14.25,2.2814035087719304
1052,201271220,Edmonton,"53.494526,-113.62082","53.46531,-113.56177",12.2,14.24,15.27,1.03,7.25,15.66,1.4177777777777774
1053,101651201,Windsor,"42.323963,-82.89961","42.282574,-83.0081",12.7,11.78,12.79,1.02,8.66,13.14,1.3666666666666654
1054,304051021,St. Catharines-Niagara,"43.18508,-79.247","43.147022,-79.18967",11.6,10.64,11.66,1.02,9.61,12.09,1.4454901960784312
1055,201270291,Calgary,"51.17046,-114.08877","51.148495,-114.180435",10.2,10.32,11.33,1.01,9.78,11.66,1.342280701754385
1056,201276490,Edmonton,"53.44323,-113.4368","53.437096,-113.536705",11.0,12.07,13.07,1.01,8.33,13.9,1.8296666666666663
1057,201271460,Edmonton,"53.437706,-113.53842","53.459175,-113.61361",10.1,8.29,9.3,1.01,12.18,10.37,2.072000000000001
1058,304037600,Saskatoon,"52.097588,-106.64862","52.174084,-106.640724",16.0,14.68,15.69,1.01,6.86,16.4,1.716507936507936
1059,101532810,Kitchener-Cambrigde-Waterloo,"43.42468,-80.50013","43.489975,-80.52176",15.9,14.74,15.74,1.0,6.79,15.97,1.2283333333333317
1060,431106301,St. Catharines-Niagara,"43.161064,-79.23946","43.117706,-79.19138",10.3,9.28,10.28,1.0,10.79,10.53,1.251269841269842
1061,13261851,Windsor,"42.315075,-82.89961","42.282066,-83.01016",12.0,10.33,11.33,1.0,9.7,11.51,1.182407407407407
1062,201361981,Toronto,"43.77871,-79.55702","43.82158,-79.45162",11.4,7.55,8.54,0.99,13.18,9.05,1.503174603174605
1063,201398230,Winnipeg,"49.80403,-97.21617","49.84855,-97.27248",10.7,13.13,14.12,0.99,7.51,14.87,1.7406944444444434
1064,303854510,Halifax,"44.659794,-63.619293","44.691044,-63.536552",11.0,11.66,12.65,0.99,8.5,12.88,1.224074074074073
1065,101606810,St. Catharines-Niagara,"43.166306,-79.249405","43.10768,-79.20752",11.6,11.93,12.92,0.99,8.28,13.68,1.7544444444444451
1066,101607070,St. Catharines-Niagara,"43.166805,-79.24975","43.127228,-79.17628",12.5,11.58,12.57,0.99,8.53,13.2,1.621052631578948
1067,304187391,Windsor,"42.277237,-83.058914","42.291206,-82.95008",13.6,11.23,12.2,0.98,8.7,12.57,1.3475757575757576
1068,304049841,St. Catharines-Niagara,"43.11871,-79.19104","43.166054,-79.22125",11.0,9.48,10.46,0.98,10.31,10.99,1.507777777777779
1069,101603670,St. Catharines-Niagara,"43.168808,-79.2549","43.143013,-79.19001",11.3,10.4,11.38,0.98,9.46,11.67,1.2731250000000003
1070,304183400,Windsor,"42.28308,-82.97995","42.285114,-83.067154",10.8,8.24,9.22,0.97,11.79,10.3,2.051875000000001
1071,304000121,Ottawa,"45.476677,-75.710434","45.49064,-75.71593",12.0,8.65,9.61,0.96,11.15,10.28,1.6346666666666678
1072,431097611,Quebec,"46.82205,-71.253075","46.889698,-71.18681",12.3,11.5,12.46,0.96,8.35,12.87,1.370000000000001
1073,303876141,Hamilton,"43.214115,-79.645256","43.203606,-79.83099",21.9,15.45,16.41,0.96,6.2,16.75,1.2977777777777764
1074,304187910,Windsor,"42.299843,-83.070244","42.28359,-82.99059",12.3,12.1,13.06,0.96,7.94,13.39,1.2844444444444445
1075,303891891,Kitchener-Cambrigde-Waterloo,"43.489227,-80.52485","43.437893,-80.47781",11.3,10.68,11.64,0.96,8.97,11.95,1.2698717948717935
1076,101534091,Kitchener-Cambrigde-Waterloo,"43.454845,-80.44932","43.432907,-80.52622",11.0,11.13,12.08,0.96,8.61,12.27,1.144166666666667
1077,201310641,Montreal,"45.605804,-73.67556","45.625977,-73.60243",12.1,12.42,13.37,0.95,7.67,13.64,1.2152380952380941
1078,201379061,Vancouver,"49.1675,-122.99387","49.139656,-123.081764",10.0,11.35,12.3,0.95,8.33,13.0,1.6518840579710155
1079,201305381,Montreal,"45.643982,-73.6426","45.6519,-73.54201",16.1,13.78,14.73,0.95,6.9,15.53,1.751111111111113
1080,304047461,St. Catharines-Niagara,"43.149277,-79.25009","43.116203,-79.2343",12.5,9.31,10.25,0.94,10.06,10.29,0.9833333333333325
1081,13261501,Windsor,"42.305683,-82.89343","42.279778,-83.00879",10.4,7.79,8.71,0.93,11.92,9.07,1.2807692307692307
1082,101652591,Windsor,"42.295017,-83.07711","42.27927,-83.00364",10.8,10.72,11.65,0.93,8.66,11.85,1.1288888888888895
1083,304053151,St. Catharines-Niagara,"43.194595,-79.26211","43.167557,-79.19688",13.8,10.42,11.34,0.93,8.91,11.75,1.332424242424242
1084,101533330,Kitchener-Cambrigde-Waterloo,"43.422436,-80.51352","43.437893,-80.44966",10.4,11.27,12.19,0.92,8.19,12.82,1.5494117647058836
