rank,tripid,cityname_corrected,origin,dest,trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
779,303885540,Kitchener-Cambrigde-Waterloo,"43.472534,-80.4373","43.427174,-80.52794",14.4,12.29,14.09,1.8,14.63,14.76,2.4744444444444422
780,303966711,Oshawa,"43.920578,-78.93355","43.893124,-78.843254",11.3,15.7,17.51,1.8,11.49,18.64,2.934444444444445
781,14167031,Hamilton,"43.225624,-79.665855","43.24613,-79.84644",17.6,17.99,19.79,1.8,10.0,21.01,3.013541666666665
782,304084411,Toronto,"43.421688,-79.69195","43.469547,-79.72765",10.3,15.39,17.19,1.8,11.7,17.64,2.252777777777778
783,5275351,Toronto,"43.616955,-79.712296","43.60817,-79.73933",13.7,10.96,12.76,1.8,16.43,13.5,2.5374999999999996
784,101535011,Kitchener-Cambrigde-Waterloo,"43.51139,-80.50322","43.42842,-80.51455",18.7,15.39,17.18,1.79,11.6,18.88,3.4805555555555543
785,101606660,St. Catharines-Niagara,"43.160046,-79.24769","43.128983,-79.17147",13.5,13.16,14.95,1.79,13.62,15.5,2.338333333333333
786,201285580,Hamilton,"43.22062,-79.92163","43.250385,-79.93674",10.4,12.75,14.53,1.78,13.96,15.01,2.2538888888888877
787,48160041,Winnipeg,"49.876675,-97.12224","49.814445,-97.17497",10.4,11.89,13.66,1.78,14.94,15.48,3.5897058823529413
788,201370250,Toronto,"43.64495,-79.73109","43.521847,-79.6765",24.4,15.4,17.18,1.78,11.57,17.54,2.1382758620689657
789,44147151,Toronto,"43.32849,-79.80149","43.34059,-79.83168",14.5,11.23,13.01,1.78,15.81,14.47,3.2370370370370374
790,303867510,Hamilton,"43.238632,-79.79323","43.228127,-79.90103",15.0,12.86,14.63,1.77,13.8,15.85,2.9977777777777774
791,48159710,Winnipeg,"49.904305,-97.01636","49.853863,-97.099396",13.8,17.37,19.14,1.77,10.17,20.33,2.953750000000003
792,303866081,Hamilton,"43.213615,-79.74688","43.266888,-79.85125",15.0,16.58,18.35,1.77,10.65,18.94,2.3533333333333317
793,13261940,Windsor,"42.28892,-83.009476","42.317616,-82.89446",14.1,12.59,14.35,1.77,14.02,14.59,2.005098039215687
794,101519381,Halifax,"44.706417,-63.603844","44.647583,-63.581184",10.2,14.76,16.53,1.77,11.98,17.4,2.6374999999999993
795,201270631,Edmonton,"53.46858,-113.57344","53.500652,-113.630775",10.5,10.41,12.16,1.76,16.88,12.38,1.9768518518518512
796,201318791,Montreal,"45.64038,-73.639854","45.641823,-73.529305",15.7,16.32,18.08,1.76,10.79,19.38,3.0592528735632207
797,303875521,Hamilton,"43.218117,-79.884895","43.225872,-79.67272",28.1,17.17,18.92,1.76,10.23,20.52,3.3526388888888903
798,14183700,Windsor,"42.273174,-83.010506","42.30289,-82.832664",17.1,13.13,14.89,1.76,13.42,15.33,2.202222222222222
799,53785280,Hamilton,"43.263885,-79.96832","43.21226,-80.007416",10.5,14.0,15.77,1.76,12.6,16.21,2.2072222222222226
800,101650941,Windsor,"42.3232,-82.89549","42.28054,-83.00192",13.6,12.27,14.02,1.75,14.24,14.47,2.2022807017543844
801,101653710,Windsor,"42.283333,-83.01188","42.30492,-82.89",12.7,9.89,11.64,1.75,17.67,13.67,3.7811111111111124
802,201275871,Edmonton,"53.481247,-113.57756","53.51331,-113.618416",10.1,12.18,13.93,1.75,14.37,14.79,2.616944444444444
803,14184561,Windsor,"42.318123,-82.834724","42.28054,-83.0081",17.5,15.21,16.95,1.74,11.42,17.23,2.0164814814814793
804,304188030,Windsor,"42.27368,-83.04827","42.30746,-82.87627",17.0,13.77,15.51,1.74,12.64,15.84,2.063985507246377
805,304026821,Quebec,"46.7873,-71.278824","46.768257,-71.35367",10.1,11.22,12.96,1.74,15.5,13.33,2.1060784313725485
806,304062180,St. Catharines-Niagara,"43.130737,-79.158424","43.20035,-79.209236",10.2,11.76,13.5,1.74,14.82,13.84,2.076666666666666
807,201320901,Montreal,"45.70755,-73.66835","45.65142,-73.80259",15.7,15.93,17.67,1.74,10.92,19.45,3.5181818181818176
808,303868890,Hamilton,"43.229877,-79.91717","43.185333,-79.83443",11.1,11.66,13.4,1.74,14.91,14.16,2.4974999999999987
809,101535741,Kitchener-Cambrigde-Waterloo,"43.48823,-80.532745","43.421688,-80.51077",17.4,12.64,14.38,1.74,13.77,15.7,3.0628205128205117
810,101537830,Kitchener-Cambrigde-Waterloo,"43.42518,-80.51867","43.461323,-80.4761",10.6,9.2,10.94,1.74,18.97,12.27,3.0776666666666657
811,431071700,Montreal,"45.586105,-73.728775","45.65855,-73.5133",27.8,18.44,20.17,1.73,9.38,21.32,2.8771929824561404
812,101540320,Kitchener-Cambrigde-Waterloo,"43.424183,-80.519356","43.466557,-80.45584",11.8,11.56,13.29,1.73,14.95,13.97,2.408888888888889
813,101575891,Ottawa,"45.510372,-75.638336","45.42056,-75.70803",17.4,18.19,19.92,1.73,9.5,21.4,3.2107575757575724
814,303850740,Halifax,"44.649048,-63.607964","44.691288,-63.530373",12.7,14.3,16.02,1.73,12.09,16.21,1.9177777777777791
815,304022420,Quebec,"46.895798,-71.30698","46.846508,-71.32311",10.6,12.19,13.92,1.73,14.15,14.53,2.3325490196078427
816,201310521,Montreal,"45.658382,-73.599686","45.64878,-73.5063",18.3,17.62,19.35,1.73,9.84,20.27,2.6499999999999986
817,101652771,Windsor,"42.329544,-82.94768","42.280796,-83.00364",13.4,13.38,15.11,1.72,12.88,15.45,2.065686274509803
818,304053131,St. Catharines-Niagara,"43.120213,-79.20271","43.186836,-79.236015",11.3,11.74,13.46,1.72,14.63,14.37,2.6258823529411757
819,13264120,Winnipeg,"49.895016,-97.11764","49.805805,-97.111115",11.9,18.05,19.77,1.72,9.52,20.55,2.5
820,304056571,St. Catharines-Niagara,"43.219368,-79.22503","43.135998,-79.21713",12.0,14.54,16.25,1.72,11.83,17.06,2.5245833333333305
821,303817861,Edmonton,"53.451202,-113.42169","53.476547,-113.4931",10.8,10.31,12.02,1.72,16.68,12.83,2.527450980392155
822,431070620,Montreal,"45.585865,-73.86851","45.62994,-73.8198",10.7,11.4,13.12,1.72,15.11,14.58,3.1784210526315793
823,201313000,Montreal,"45.63774,-73.812546","45.703236,-73.68174",17.0,16.0,17.72,1.72,10.78,19.24,3.2377083333333356
824,304049290,St. Catharines-Niagara,"43.112194,-79.18932","43.13199,-79.2549",10.7,11.83,13.54,1.71,14.48,14.48,2.6481481481481506
825,303810391,Calgary,"51.130615,-114.15331","51.16034,-114.05066",10.1,13.69,15.4,1.71,12.52,16.29,2.6001851851851843
826,303891470,Kitchener-Cambrigde-Waterloo,"43.430664,-80.461334","43.505165,-80.50734",12.7,12.56,14.27,1.71,13.62,16.0,3.440624999999999
827,101650160,Windsor,"42.278255,-83.00467","42.33437,-82.94081",12.5,10.71,12.41,1.7,15.88,13.2,2.4970833333333324
828,303995100,Ottawa,"45.46753,-75.756096","45.476437,-75.703224",10.3,11.55,13.26,1.7,14.75,13.77,2.2124999999999986
829,48149040,Montreal,"45.69844,-73.93614","45.640656,-73.84335",10.8,11.28,12.97,1.69,14.97,13.79,2.5089583333333323
830,201306261,Montreal,"45.550053,-73.78199","45.610126,-73.7274",11.3,12.1,13.8,1.69,13.98,14.28,2.1758333333333315
831,303916071,Montreal,"45.707073,-73.67007","45.638462,-73.5887",13.5,15.4,17.08,1.68,10.9,18.53,3.132456140350879
832,431053400,Hamilton,"43.255386,-79.92438","43.23301,-79.92297",11.4,13.33,15.01,1.68,12.62,15.8,2.472380952380952
833,304000281,Ottawa,"45.478363,-75.66374","45.46271,-75.73172",11.5,13.45,15.12,1.67,12.43,15.47,2.015833333333335
834,303781690,Calgary,"51.139664,-114.18936","51.128246,-114.05993",11.5,14.13,15.8,1.66,11.77,16.3,2.169019607843138
835,101603311,St. Catharines-Niagara,"43.11921,-79.21507","43.16981,-79.25215",10.7,9.37,11.03,1.66,17.71,11.47,2.0931372549019613
836,101603980,St. Catharines-Niagara,"43.16931,-79.25902","43.138504,-79.17765",12.0,11.19,12.85,1.66,14.86,13.74,2.549411764705882
837,13262230,Windsor,"42.28435,-83.0057","42.327263,-82.899956",14.3,13.49,15.15,1.66,12.34,16.6,3.1177777777777766
838,304180440,Windsor,"42.271904,-83.008446","42.30365,-82.93051",10.9,8.94,10.6,1.66,18.56,11.8,2.859583333333333
839,303881431,Kitchener-Cambrigde-Waterloo,"43.463318,-80.58905","43.5094,-80.511116",10.6,16.76,18.42,1.66,9.9,19.28,2.5183333333333344
840,303835281,Edmonton,"53.496975,-113.59576","53.481453,-113.56795",10.9,12.78,14.43,1.65,12.9,15.77,2.985624999999999
841,101533620,Kitchener-Cambrigde-Waterloo,"43.42917,-80.51764","43.45858,-80.45962",10.8,12.44,14.08,1.65,13.23,14.83,2.395833333333334
842,304057950,St. Catharines-Niagara,"43.185833,-79.251465","43.138252,-79.18967",12.0,13.53,15.16,1.64,12.1,16.87,3.3396825396825403
843,101652090,Windsor,"42.274696,-83.01703","42.324722,-82.89",13.7,10.6,12.23,1.63,15.39,12.85,2.253787878787879
844,304186901,Windsor,"42.342743,-82.940125","42.28638,-82.97068",10.3,10.85,12.49,1.63,15.06,13.0,2.1431578947368415
845,303866400,Hamilton,"43.216618,-79.8794","43.24113,-79.76851",12.4,9.06,10.69,1.63,17.99,11.46,2.399166666666668
846,53829830,Toronto,"43.904007,-79.23121","43.861347,-79.311134",13.8,11.87,13.5,1.63,13.74,14.26,2.3916666666666657
847,431059951,Kitchener-Cambrigde-Waterloo,"43.464222,-80.46644","43.437393,-80.55369",17.0,15.27,16.9,1.63,10.71,18.22,2.951111111111109
848,101566471,Oshawa,"43.870358,-78.93389","43.90079,-78.85321",11.0,12.35,13.98,1.63,13.22,14.24,1.8888888888888893
849,13252330,Quebec,"46.813858,-71.21531","46.855667,-71.332726",12.4,17.21,18.84,1.62,9.42,19.38,2.1685185185185176
850,101566470,Oshawa,"43.90079,-78.85321","43.870358,-78.93389",10.4,10.35,11.97,1.62,15.63,12.7,2.3542592592592584
851,12316161,Halifax,"44.663944,-63.52076","44.647583,-63.58187",15.8,19.45,21.07,1.62,8.35,21.55,2.1000000000000014
852,201370190,Toronto,"43.78466,-79.62157","43.690647,-79.67444",13.8,11.01,12.63,1.62,14.72,13.9,2.8931372549019603
853,201267690,Calgary,"51.1332,-114.105934","51.137512,-114.0383",10.5,11.55,13.17,1.62,13.99,13.89,2.33578947368421
854,201367941,Toronto,"43.7172,-79.771255","43.571617,-79.768166",27.5,18.78,20.38,1.61,8.56,20.94,2.1651960784313715
855,13262141,Windsor,"42.309746,-82.89618","42.27902,-83.00913",11.1,9.18,10.79,1.61,17.53,11.66,2.485555555555557
856,101533061,Kitchener-Cambrigde-Waterloo,"43.454594,-80.468544","43.418446,-80.510086",12.4,10.07,11.69,1.61,16.02,12.84,2.7648275862068985
857,304066290,Toronto,"43.768795,-79.63427","43.776726,-79.647316",10.5,9.26,10.86,1.6,17.26,11.63,2.368333333333334
858,201354621,Toronto,"43.762844,-79.66139","43.640728,-79.69607",20.4,17.8,19.4,1.6,8.98,19.88,2.079629629629629
859,431050830,Halifax,"44.649292,-63.48471","44.68893,-63.58987",11.4,14.47,16.06,1.59,10.98,17.17,2.6920634920634914
860,201305080,Montreal,"45.658382,-73.805336","45.71019,-73.68105",15.1,13.98,15.57,1.59,11.39,16.11,2.1322222222222216
861,303963470,Montreal,"45.720497,-73.68964","45.63438,-73.63745",13.1,15.86,17.46,1.59,10.05,17.92,2.0531746031746003
862,13251020,Quebec,"46.811977,-71.218056","46.856606,-71.33032",12.3,18.52,20.1,1.59,8.56,21.08,2.558958333333333
863,101649750,Windsor,"42.281303,-83.02046","42.301872,-82.91609",11.0,8.58,10.16,1.58,18.43,11.69,3.111212121212123
864,14183890,Windsor,"42.274952,-83.013596","42.3034,-82.83507",16.3,12.21,13.79,1.58,12.92,14.55,2.334444444444445
865,101570461,Oshawa,"43.91786,-78.94522","43.89535,-78.848404",11.4,14.97,16.55,1.58,10.56,17.6,2.6304166666666653
866,303842280,Halifax,"44.679573,-63.54239","44.650513,-63.624786",12.2,14.05,15.62,1.57,11.18,16.32,2.2737037037037027
867,201372860,Toronto,"43.828762,-79.43789","43.829754,-79.31189",12.7,12.22,13.79,1.57,12.86,14.22,1.996078431372549
868,201265510,Calgary,"51.137295,-114.17906","51.16443,-114.08362",13.7,13.86,15.43,1.57,11.31,16.24,2.3739215686274537
869,304103900,Toronto,"43.573856,-79.5814","43.49695,-79.648346",15.0,13.61,15.17,1.56,11.47,15.76,2.144166666666665
870,45578910,Montreal,"45.658142,-73.5063","45.600723,-73.565834",10.9,13.1,14.67,1.56,11.94,15.33,2.2287037037037027
871,48152361,Ottawa,"45.48034,-75.70866","45.46705,-75.73962",10.5,11.79,13.35,1.56,13.19,14.91,3.1169841269841267
872,48153741,Saskatoon,"52.11789,-106.64348","52.125633,-106.72587",11.3,13.23,14.8,1.56,11.82,15.53,2.299999999999999
873,101536220,Kitchener-Cambrigde-Waterloo,"43.424183,-80.519356","43.463318,-80.46305",11.1,10.14,11.7,1.56,15.38,12.0,1.8598484848484844
874,201360960,Toronto,"43.667057,-79.665855","43.77301,-79.61161",16.9,15.54,17.08,1.55,9.95,17.93,2.3933333333333326
875,303962090,Montreal,"45.66126,-73.812546","45.576496,-73.871254",13.4,13.83,15.38,1.55,11.21,16.69,2.864583333333332
